Object ID,MJD(Days),V(Mag),Z,Vel(km/s),Comments
1,9360.281042,15.600,,, 
2,9360.281458,15.800,,, 
3,9360.281829,15.400,,, 
4,9360.260972,12.900,,, 
5,9360.262361,12.500,,, 
6,9360.265116,17.900,,, 
8,9360.271551,16.000,,, 
9,9360.273125,16.900,,, 
10,9360.274398,16.300,,, 
11,9360.276505,14.100,,, 
12,9360.277546,14.700,,, 
13,9360.278704,14.400,,, 
7,9360.269838,18.500,,, 

